event,key,timestamp,label
keyup,d,1753192287.1943183,bot
keydown,Key.space,1753192287.3964903,bot
keyup,Key.space,1753192287.3966155,bot
keydown,h,1753192287.5986922,bot
keyup,h,1753192287.5988436,bot
keydown,e,1753192287.8011513,bot
keyup,e,1753192287.8012772,bot
keydown,l,1753192288.0036385,bot
keyup,l,1753192288.003797,bot
keydown,l,1753192288.2062123,bot
keyup,l,1753192288.2063112,bot
keydown,o,1753192288.4084742,bot
keyup,o,1753192288.4085999,bot
keydown,Key.space,1753192288.6109846,bot
keyup,Key.space,1753192288.6111307,bot
keydown,w,1753192288.8135533,bot
keyup,w,1753192288.8137107,bot
keydown,o,1753192289.0157793,bot
keyup,o,1753192289.0159128,bot
keydown,r,1753192289.2183628,bot
keyup,r,1753192289.2184923,bot
keydown,l,1753192289.4212847,bot
keyup,l,1753192289.421379,bot
keydown,d,1753192289.623521,bot
keyup,d,1753192289.6237094,bot
keydown,Key.space,1753192289.8262146,bot
keyup,Key.space,1753192289.8263075,bot
keydown,h,1753192290.0284753,bot
keyup,h,1753192290.0285993,bot
keydown,e,1753192290.2309263,bot
keyup,e,1753192290.2310524,bot
keydown,l,1753192290.433548,bot
keyup,l,1753192290.4337192,bot
keydown,l,1753192290.636009,bot
keyup,l,1753192290.6361387,bot
keydown,o,1753192290.8388705,bot
keyup,o,1753192290.8389986,bot
keydown,Key.space,1753192291.0413666,bot
keyup,Key.space,1753192291.0414903,bot
keydown,w,1753192291.243867,bot
keyup,w,1753192291.2439947,bot
keydown,o,1753192291.4464521,bot
keyup,o,1753192291.4465797,bot
keydown,r,1753192291.6486192,bot
keyup,r,1753192291.6488156,bot
keydown,l,1753192291.8514686,bot
keyup,l,1753192291.851577,bot
keydown,d,1753192292.0541344,bot
keyup,d,1753192292.054288,bot
keydown,Key.space,1753192292.2567062,bot
keyup,Key.space,1753192292.256913,bot
keydown,h,1753192292.459443,bot
keyup,h,1753192292.459595,bot
keydown,e,1753192292.662127,bot
keyup,e,1753192292.6622388,bot
keydown,l,1753192292.8648713,bot
keyup,l,1753192292.8650692,bot
keydown,l,1753192293.0674431,bot
keyup,l,1753192293.0676053,bot
keydown,o,1753192293.2701886,bot
keyup,o,1753192293.2708113,bot
keydown,Key.space,1753192293.473314,bot
keyup,Key.space,1753192293.473472,bot
keydown,w,1753192293.6759834,bot
keyup,w,1753192293.6764712,bot
keydown,o,1753192293.8789294,bot
keyup,o,1753192293.8793817,bot
keydown,r,1753192294.081994,bot
keyup,r,1753192294.0822127,bot
keydown,l,1753192294.284485,bot
keyup,l,1753192294.2848787,bot
keydown,d,1753192294.4871411,bot
keyup,d,1753192294.487314,bot
keydown,Key.space,1753192294.6896267,bot
keyup,Key.space,1753192294.6901076,bot
keydown,h,1753192294.8927367,bot
keyup,h,1753192294.8930485,bot
keydown,e,1753192295.0955923,bot
keyup,e,1753192295.0957515,bot
keydown,l,1753192295.2983506,bot
keyup,l,1753192295.2985168,bot
keydown,l,1753192295.5009336,bot
keyup,l,1753192295.5010862,bot
keydown,o,1753192295.7035673,bot
keyup,o,1753192295.7037592,bot
keydown,Key.space,1753192295.9062421,bot
keyup,Key.space,1753192295.9064496,bot
keydown,w,1753192296.1089444,bot
keyup,w,1753192296.1092646,bot
keydown,o,1753192296.3119035,bot
keyup,o,1753192296.3120525,bot
keydown,r,1753192296.5145447,bot
keyup,r,1753192296.514651,bot
keydown,l,1753192296.717106,bot
keyup,l,1753192296.717241,bot
keydown,d,1753192296.9195328,bot
keyup,d,1753192296.9197211,bot
keydown,Key.space,1753192297.1219728,bot
keyup,Key.space,1753192297.1220744,bot
keydown,h,1753192297.324423,bot
keyup,h,1753192297.324571,bot
keydown,e,1753192297.5272243,bot
keyup,e,1753192297.5273798,bot
keydown,l,1753192297.7299569,bot
keyup,l,1753192297.7301779,bot
keydown,l,1753192297.9325728,bot
keyup,l,1753192297.9327555,bot
keydown,o,1753192298.1351593,bot
keyup,o,1753192298.135313,bot
keydown,Key.space,1753192298.3379183,bot
keyup,Key.space,1753192298.3380334,bot
keydown,w,1753192298.5405786,bot
keyup,w,1753192298.540911,bot
keydown,o,1753192298.7434146,bot
keyup,o,1753192298.7438745,bot
keydown,r,1753192298.9464521,bot
keyup,r,1753192298.9465957,bot
keydown,l,1753192299.1491015,bot
keyup,l,1753192299.1492555,bot
keydown,d,1753192299.3517625,bot
keyup,d,1753192299.351916,bot
keydown,Key.space,1753192299.5542603,bot
keyup,Key.space,1753192299.5544167,bot
keydown,h,1753192299.7568502,bot
keyup,h,1753192299.756953,bot
keydown,e,1753192299.959531,bot
keyup,e,1753192299.959704,bot
keydown,l,1753192300.1619415,bot
